date,skin,price
2026-02-19,AK-47 | Slate (Field-Tested),35.5
2026-03-05T13:09:15Z,★ Moto Gloves | Turtle (Field-Tested),524.84,140
2026-03-05T13:09:15Z,M4A4 | Poly Mag (Minimal Wear),1.41,140
2026-03-05T13:09:15Z,M4A4 | Etch Lord (Minimal Wear),9.94,140
2026-03-05T13:09:15Z,Tec-9 | Blue Blast (Factory New),2.88,140
2026-03-05T13:09:15Z,Glock-18 | Green Line (Minimal Wear),11.17,140
2026-03-05T13:09:15Z,P250 | Vino Primo (Minimal Wear),19.15,139
2026-03-05T13:09:15Z,MAC-10 | Light Box (Minimal Wear),1.23,139
2026-03-05T13:09:15Z,Dual Berettas | Polished Malachite (Factory New),10.13,139
2026-03-05T13:09:15Z,Glock-18 | AXIA (Minimal Wear),376.5,138
2026-03-05T13:09:15Z,XM1014 | Monster Melt (Field-Tested),23.75,138
2026-03-05T13:09:15Z,FAMAS | Valence (Field-Tested),35.41,137
2026-03-05T13:09:15Z,USP-S | Check Engine (Minimal Wear),5.65,137
2026-03-05T13:09:15Z,Dual Berettas | Polished Malachite (Minimal Wear),1.47,137
2026-03-05T13:09:15Z,M4A4 | Neo-Noir (Field-Tested),247.26,136
2026-03-05T13:09:15Z,★ Hand Wraps | Cobalt Skulls (Field-Tested),1552.23,136
2026-03-05T13:09:15Z,AWP | Exoskeleton (Field-Tested),37.56,136
2026-03-05T13:09:15Z,MP7 | Just Smile (Field-Tested),3.62,136
2026-03-05T13:09:15Z,Dual Berettas | Sweet Little Angels (Field-Tested),26.2,136
2026-03-05T13:09:15Z,★ Hydra Gloves | Emerald (Field-Tested),270.52,135
2026-03-05T13:09:15Z,★ Sport Gloves | Bronze Morph (Field-Tested),807.26,135
2026-03-05T13:09:15Z,AUG | Tom Cat (Field-Tested),1.47,135
2026-03-05T13:09:15Z,★ Sport Gloves | Big Game (Field-Tested),1280.54,135
2026-03-05T13:09:15Z,M4A4 | Naval Shred Camo (Minimal Wear),4.97,135
2026-03-05T13:09:15Z,AK-47 | Nouveau Rouge (Minimal Wear),341.09,135
2026-03-05T13:09:15Z,MP7 | Smoking Kills (Field-Tested),68.43,135
2026-03-05T13:09:15Z,Five-SeveN | Hybrid (Minimal Wear),7.86,134
2026-03-05T13:09:15Z,XM1014 | Mockingbird (Minimal Wear),1.29,134
2026-03-05T13:09:15Z,MP7 | Bloodsport (Minimal Wear),378.35,132
2026-03-05T13:09:15Z,P250 | Muertos (Minimal Wear),65.67,132
2026-03-05T13:09:15Z,AWP | Neo-Noir (Factory New),348.46,132
2026-03-05T13:09:15Z,AK-47 | Uncharted (Field-Tested),4.79,132
2026-03-05T13:09:15Z,★ Stiletto Knife | Tiger Tooth (Factory New),1736.71,132
2026-03-05T13:09:15Z,MAC-10 | Allure (Field-Tested),2.27,132
2026-03-05T13:09:15Z,Dual Berettas | Flora Carnivora (Field-Tested),2.88,132
2026-03-05T13:09:15Z,UMP-45 | K.O. Factory (Minimal Wear),43.39,132
2026-03-05T13:09:15Z,USP-S | Stainless (Minimal Wear),71.0,131
2026-03-05T13:09:15Z,P250 | Nevermore (Minimal Wear),8.41,131
2026-03-05T13:09:15Z,Galil AR | Signal (Minimal Wear),6.14,131
2026-03-05T13:09:15Z,MAC-10 | Disco Tech (Minimal Wear),57.2,131
2026-03-05T13:09:15Z,★ Broken Fang Gloves | Jade (Field-Tested),560.37,131
2026-03-05T13:09:15Z,MP9 | Starlight Protector (Minimal Wear),423.76,131
2026-03-05T13:09:15Z,FAMAS | Meow 36 (Minimal Wear),1.29,131
2026-03-05T13:09:15Z,AWP | Crakow! (Minimal Wear),573.56,131
2026-03-05T13:09:15Z,P250 | Constructivist (Factory New),3.25,131
2026-03-05T13:09:15Z,Galil AR | Crimson Tsunami (Minimal Wear),20.68,130
2026-03-05T13:09:15Z,MP7 | Bloodsport (Field-Tested),193.01,130
